"name" "prob_forest" "prob_jungle" "prob_oilpalm" "prob_rubber"
"96" "Antidesma neurocarpum" 0.233249784086945 0.24486619947953 0 0
"97" "Antidesma sp. 07" 0 0.11986619947953 0 0
"98" "Antidesma sp. 21" 0.109916907514451 0 0 0
"99" "Antidesma stipulare" 0.1035568413887 0 0 0
"100" "Antidesma tomentosum" 0.212803188380078 0 0 0
"101" "Antidesma velutinosum" 0 0.122476520475619 0 0
"102" "Antrophyum callifolium" 0.0977607419546817 0 0 0
"103" "Aphanamixis polystachya" 0.066633815155497 0 0 0
"104" "Apocynaceae sp. 08" 0 0.217955179338348 0 0
"105" "Apocynaceae sp. 13" 0 0.0686853002070467 0 0
"106" "Apocynaceae sp. 19" 0.0487892880051072 0 0 0
"107" "Apocynaceae sp. 25" 0.1035568413887 0 0 0
"108" "Aporosa antennifera" 0.354689536493938 0.122714348810247 0 0
"109" "Aporosa arborea" 0.197621030627286 0 0 0
"110" "Aporosa benthamiana" 0 0.0728480456741361 0 0
"111" "Aporosa cf. falcifera" 0.066633815155497 0 0 0
"112" "Aporosa frutescens" 0.338304900092696 0 0 0
"113" "Aporosa lucida" 0.573113332231786 0.122714348810247 0 0
"114" "Aporosa lunata" 0.199878591085411 0 0 0
"115" "Aporosa nervosa" 0.499999991738383 0.108409658770675 0 0
"116" "Aporosa octandra" 0 0.227217712047326 0.436928037347898 0.220392752261174
"117" "Aporosa prainiana" 0.066633815155497 0.125 0 0
"118" "Aporosa subcaudata" 0.615058472075889 0.125 0 0.00295908014877318
"119" "Aporosa symplocoides" 0.475716826515455 0 0 0
"120" "Aporosa whitmorei " 0 0.125 0 0
"121" "Aquilaria malaccensis" 0.145178777365865 0.043309399477835 0 0.0120233596702206
"122" "Araceae sp. 02" 0.125 0 0 0
"123" "Araceae sp. 22" 0.066633815155497 0 0 0
"124" "Aralidium pinnatifidum" 0.0973800852194733 0 0 0
"125" "Arcangelisia flava" 0.346647734880075 0.240009182174412 0 0
"126" "Archidendron bubalinum" 0.347760741954682 0.696620291138939 0.125 0.215176522264317
"127" "Archidendron clypearia" 0.157261943369442 0.125 0 0
"128" "Archidendron fagifolium" 0.335528464818752 0.322693801053645 0 0
"129" "Archidendron jiringa" 0 0.124997113783059 0.0587756837605558 0
"130" "Archidendron microcarpum" 0.225791250137827 0.186998424315463 0 0
"131" "Ardisia fuliginosa" 0.482543225707162 0 0 0
"132" "Ardisia korthalsiana" 0 0.124999997587989 0 0
"133" "Ardisia odontophylla" 0.0487892880051072 0 0 0
"134" "Ardisia pterocaulis" 0.125 0 0 0
"135" "Ardisia purpurea" 0.216360352138785 0 0 0
"136" "Ardisia sanguinolenta" 0.191005377854578 0.24486619947953 0 0
"137" "Ardisia sp. 05" 0 0.125 0 0
"138" "Ardisia sp. 08" 0.0785449622103678 0 0 0
"139" "Ardisia sp. 09" 0.1035568413887 0 0 0
"140" "Ardisia villosa" 0.115133724039605 0 0 0
"141" "Areca sp. 02" 0.0977607419546817 0 0 0
"142" "Arecaceae sp. 01" 0 0.043309399477835 0 0
"143" "Arecaceae sp. 02" 0.119076068416918 0 0 0
"144" "Arecaceae sp. 05" 0.1035568413887 0 0 0
"145" "Arecaceae sp. 06" 0.214230478851876 0 0 0
"146" "Arecaceae sp. 11" 0.0662276882890578 0 0 0
"147" "Arecaceae sp. 13" 0.0973800852194733 0 0 0
"148" "Artabotrys hexapetalus" 0.37714034632781 0 0 0
"149" "Artabotrys maingayi" 0.0487892880051072 0.118313124108416 0 0
"150" "Artabotrys suaveolens" 0.212569315288367 0 0 0
"151" "Artabotrys tomentosus" 0.0662276882890578 0 0 0
"152" "Artocarpus anisophyllus" 0.190189552306427 0.193685300207047 0 0.0120233596702206
"153" "Artocarpus dadah" 0.066633815155497 0.490789644556034 0 0
"154" "Artocarpus elasticus" 0.191210872934926 0.844967378523384 0 0.0416070688992163
"155" "Artocarpus heterophyllus" 0 0 0 0.00498149729575738
"156" "Artocarpus hispidus" 0.0487892880051072 0 0 0
"157" "Artocarpus integer" 0.435701353998083 0.483015718768977 0 0
"158" "Artocarpus kemando" 0.280148552414682 0.430863408681875 0 0
"159" "Artocarpus nitidus" 0.260668761236822 0.233061654876109 0 0
"160" "Artocarpus rigida" 0 0.108061889250815 0 0
"161" "Artocarpus rigidus" 0.504221612265916 0.71349046160845 0 0.0120233596702206
"162" "Artocarpus sp. 04" 0 0 0.0183536234268498 0
"163" "Arytera littoralis" 0.211188915348759 0.203712222123665 0 0
"164" "Asplenium bantamense" 0.0785449622103678 0 0 0
"165" "Asplenium glaucophyllum" 0.234916907514451 0 0 0
"166" "Asplenium longissimum" 0 0 0.373699384378691 0
"167" "Asplenium nidus" 0.39204441515438 0.304570289022315 0.0700904863094681 0
"168" "Asystasia gangetica" 0 0.0794420498084135 0.875 0.25
"169" "Atuna racemosa" 0.0487892880051072 0 0 0
"170" "Axonopus compressus" 0 0.40001957239156 0.999999999999948 0.991646358599387
"171" "Baccaurea cf. velutina" 0.109916907514451 0 0 0
"172" "Baccaurea deflexa" 0.125 0 0 0
"173" "Baccaurea dulcis" 0.369050399805671 0.124906159608086 0 0
"174" "Baccaurea javanica" 0.3011995806331 0.108061889250815 0 0
"175" "Baccaurea lanceolata" 0 0.108061889250815 0 0
"176" "Baccaurea macrocarpa" 0.222156451572803 0.233060506682793 0 0.00437828371280805
"177" "Baccaurea macrophylla" 0.066633815155497 0 0 0
"178" "Baccaurea minor" 0.337817712824794 0.124692860962108 0 0
"179" "Baccaurea mollis" 0.402052450688092 0 0 0
"180" "Baccaurea parviflora" 0.557836650228834 0 0.0166747627231934 0
"181" "Baccaurea polyneura" 0.368060468357294 0.108061889250815 0 0
"182" "Baccaurea pubera" 0.342733103528403 0 0 0
"183" "Baccaurea pyriformis" 0.541059639087714 0.233061841113969 0 0
"184" "Baccaurea reticulata" 0.214230478851876 0 0 0
"185" "Baccaurea sp. 06" 0 0.0716205582380079 0 0
"186" "Baccaurea sumatrana" 0.218713714094517 0 0 0
"187" "Balakata baccata" 0 0.249991549146857 0 0.0228939642380408
"188" "Barringtonia acutangula" 0.0487892880051072 0 0 0
"189" "Barringtonia gigantostachya" 0 0.247714348810247 0 0
"190" "Barringtonia lanceolata" 0.316226389115304 0 0 0
"191" "Barringtonia macrostachya" 0.174383442139998 0.043309399477835 0 0
"192" "Barringtonia pendula" 0.188462097038185 0.0839633716202853 0 0
"193" "Barringtonia scortechinii" 0.249996968127802 0.108061889250815 0 0
"194" "Bauhinia acuminata" 0.0898552864737154 0.230504424253885 0 0
"195" "Bauhinia bidentata" 0.112293919088029 0.125 0 0
"196" "Bauhinia kockiana" 0.066633815155497 0.358061889250815 0.235777935651909 0
"197" "Bauhinia semibifida" 0.355594500311138 0.447755106324106 0.0340136910628921 0.0114240161140474
"198" "Bauhinia stipularis" 0.248189592659001 0.124999997587989 0 0
"199" "Begonia cf. aberrans" 0.119076068416918 0 0 0
"200" "Beilschmiedia madang" 0.439069544716763 0 0 0
"201" "Beilschmiedia maingayi" 0 0.125 0 0
"202" "Bellucia pentamera" 0 0 0.0560251155729543 0.027073404315748
"203" "Bhesa paniculata" 0.453896852063756 0 0 0
"204" "Bhesa robusta" 0.0662276882890578 0.0794420498084135 0 0
"205" "Blechnum orientale" 0 0.318029398328806 0.0306875115771086 0.137111775037176
"206" "Blechnum sp. 01" 0 0 0 0.020564042303164
"207" "Blumeodendron tokbrai" 0.0898552864737154 0 0 0
"208" "Boesenbergia sp. 02" 0.25 0.043309399477835 0 0
"209" "Bolbitis heteroclita" 0.122239484273264 0 0 0
"210" "Botryophora geniculata" 0.066633815155497 0.0686853002070467 0 0
"211" "Bouea macrophylla" 0.34756680987922 0 0 0
"212" "Breynia racemosa" 0 0.376662266198548 0.477302684986397 0.673994945671968
"213" "Bridelia glauca" 0 0.44783344646122 0.211082658847246 0.0860014940482523
"214" "Bridelia insulana" 0 0 0.0140127488539152 0.014358797165385
"215" "Bridelia tomentosa" 0 0.0901248736032722 0 0.106660113175314
"216" "Bromheadia finlaysoniana" 0.0662276882890578 0 0 0
"217" "Buchanania sessilifolia" 0.239242938032826 0.10221771204813 0 0
"218" "Burseraceae sp. 27" 0.0487892880051072 0 0 0
"219" "Burseraceae sp. 28" 0.0487892880051072 0 0 0
"220" "Burseraceae sp. 48" 0.1035568413887 0 0 0
"221" "Byttneria curtisii" 0.191633815155497 0.25 0 0.123081391793589
"222" "Byttneria reinwardtii" 0.182092343256572 0 0 0
"223" "Caesalpinia sumatrana" 0 0.125 0.0953300137567184 0.122667207702727
"224" "Calamus aff. C. axillaris" 0 0.124999242458137 0 0
"225" "Calamus aff. C. concinnus" 0.0973800852194733 0 0 0
"226" "Calamus aff. C. rugosus" 0.173789288005107 0.240922657215203 0 0
"227" "Calamus aff. C. sarawakensis" 0 0.108061889250815 0 0
"228" "Calamus arborescens" 0.124974331388753 0 0 0
"229" "Calamus cf. conirostris" 0.124983590044426 0 0 0
"230" "Calamus exilis" 0.124783851511386 0 0 0
"231" "Calamus javensis" 0 0.122714348810247 0 0
"232" "Calamus laxissimus" 0.0487892880051072 0 0 0
"233" "Calamus luridus" 0.125 0 0 0
"234" "Calamus ornatus" 0.228540431433126 0.122295416272628 0 0
"235" "Calamus oxleyanus" 0 0.249999999880774 0 0
"236" "Calamus rugosus" 0.125 0 0 0
"237" "Calamus sp. 01" 0.24999999516469 0 0 0
"238" "Calamus sp. 03" 0.125 0 0 0
"239" "Calamus sp. 08" 0 0.043309399477835 0 0
"240" "Calamus sp. 10" 0.0977607419546817 0.124999481261459 0 0
"241" "Calamus sp. 12" 0.173190745875557 0 0 0
"242" "Calamus sp. 13" 0.112293919088029 0 0 0
"243" "Calamus sp. 14" 0.066633815155497 0 0 0
"244" "Calamus sp. 15" 0.066633815155497 0 0 0
"245" "Calamus sp. 18" 0.0977607419546817 0.0686853002070467 0 0
"246" "Calamus sp. 21" 0.0785449622103678 0 0 0
"247" "Calamus sp. 22" 0.0487892880051072 0 0 0
"248" "Calamus sp. 27" 0 0.0728480456741361 0 0
"249" "Calamus sp. 28" 0 0.124346769913124 0 0
