"variable" "F" "J" "O" "R" "group"
"103" "Aphanamixis polystachya" 0.125 0 0 0 "core"
"104" "Apocynaceae sp. 08" 0 0.25 0 0 "core"
"105" "Apocynaceae sp. 13" 0 0.125 0 0 "core"
"106" "Apocynaceae sp. 19" 0.125 0 0 0 "core"
"107" "Apocynaceae sp. 25" 0.125 0 0 0 "core"
"108" "Aporosa antennifera" 0.5 0.125 0 0 "core"
"109" "Aporosa arborea" 0.25 0 0 0 "core"
"110" "Aporosa benthamiana" 0 0.125 0 0 "core"
"111" "Aporosa cf. falcifera" 0.125 0 0 0 "core"
"112" "Aporosa frutescens" 0.375 0 0 0 "core"
"113" "Aporosa lucida" 0.625 0.125 0 0 "core"
"114" "Aporosa lunata" 0.25 0 0 0 "core"
"115" "Aporosa nervosa" 0.5 0.125 0 0 "core"
"116" "Aporosa octandra" 0 0.25 0.625 0.5 "core"
"117" "Aporosa prainiana" 0.125 0.125 0 0 "core"
"118" "Aporosa subcaudata" 0.625 0.125 0 0.125 "core"
"119" "Aporosa symplocoides" 0.5 0 0 0 "core"
"120" "Aporosawhitmorei" 0 0.125 0 0 "core"
"121" "Aquilaria malaccensis" 0.25 0.125 0 0.125 "core"
"122" "Araceae sp. 02" 0.125 0 0 0 "core"
"123" "Araceae sp. 22" 0.125 0 0 0 "core"
"124" "Aralidium pinnatifidum" 0.125 0 0 0 "core"
"125" "Arcangelisia flava" 0.375 0.25 0 0 "core"
"126" "Archidendron bubalinum" 0.375 0.75 0.125 0.25 "general"
"127" "Archidendron clypearia" 0.25 0.125 0 0 "core"
"128" "Archidendron fagifolium" 0.5 0.375 0 0 "core"
"129" "Archidendron jiringa" 0 0.125 0.125 0 "core"
"130" "Archidendron microcarpum" 0.25 0.25 0 0 "core"
"131" "Ardisia fuliginosa" 0.5 0 0 0 "core"
"132" "Ardisia korthalsiana" 0 0.125 0 0 "core"
"133" "Ardisia odontophylla" 0.125 0 0 0 "core"
"134" "Ardisia pterocaulis" 0.125 0 0 0 "core"
"135" "Ardisia purpurea" 0.25 0 0 0 "core"
"136" "Ardisia sanguinolenta" 0.25 0.25 0 0 "core"
"137" "Ardisia sp. 05" 0 0.125 0 0 "core"
"138" "Ardisia sp. 08" 0.125 0 0 0 "core"
"139" "Ardisia sp. 09" 0.125 0 0 0 "core"
"140" "Ardisia villosa" 0.125 0 0 0 "core"
"141" "Areca sp. 02" 0.125 0 0 0 "core"
"142" "Arecaceae sp. 01" 0 0.125 0 0 "core"
"143" "Arecaceae sp. 02" 0.125 0 0 0 "core"
"144" "Arecaceae sp. 05" 0.125 0 0 0 "core"
"145" "Arecaceae sp. 06" 0.25 0 0 0 "core"
"146" "Arecaceae sp. 11" 0.125 0 0 0 "core"
"147" "Arecaceae sp. 13" 0.125 0 0 0 "core"
"148" "Artabotrys hexapetalus" 0.625 0 0 0 "core"
"149" "Artabotrys maingayi" 0.125 0.125 0 0 "core"
"150" "Artabotrys suaveolens" 0.25 0 0 0 "core"
"151" "Artabotrys tomentosus" 0.125 0 0 0 "core"
"152" "Artocarpus anisophyllus" 0.25 0.25 0 0.125 "core"
"153" "Artocarpus dadah" 0.125 0.5 0 0 "core"
"154" "Artocarpus elasticus" 0.25 0.875 0 0.125 "core"
"155" "Artocarpus heterophyllus" 0 0 0 0.125 "core"
"156" "Artocarpus hispidus" 0.125 0 0 0 "core"
"157" "Artocarpus integer" 0.5 0.5 0 0 "core"
"158" "Artocarpus kemando" 0.375 0.5 0 0 "core"
"159" "Artocarpus nitidus" 0.375 0.25 0 0 "core"
"160" "Artocarpus rigida" 0 0.125 0 0 "core"
"161" "Artocarpus rigidus" 0.625 0.875 0 0.125 "core"
"162" "Artocarpus sp. 04" 0 0 0.125 0 "core"
"163" "Arytera littoralis" 0.25 0.25 0 0 "core"
"164" "Asplenium bantamense" 0.125 0 0 0 "core"
"165" "Asplenium glaucophyllum" 0.25 0 0 0 "core"
"166" "Asplenium longissimum" 0 0 0.625 0 "core"
"167" "Asplenium nidus" 0.5 0.375 0.25 0 "core"
"168" "Asystasia gangetica" 0 0.125 0.875 0.25 "core"
"169" "Atuna racemosa" 0.125 0 0 0 "core"
"170" "Axonopus compressus" 0 0.5 1 1 "core"
"171" "Baccaurea cf. velutina" 0.125 0 0 0 "core"
"172" "Baccaurea deflexa" 0.125 0 0 0 "core"
"173" "Baccaurea dulcis" 0.375 0.125 0 0 "core"
"174" "Baccaurea javanica" 0.375 0.125 0 0 "core"
"175" "Baccaurea lanceolata" 0 0.125 0 0 "core"
"176" "Baccaurea macrocarpa" 0.25 0.25 0 0.125 "core"
"177" "Baccaurea macrophylla" 0.125 0 0 0 "core"
"178" "Baccaurea minor" 0.375 0.125 0 0 "core"
"179" "Baccaurea mollis" 0.5 0 0 0 "core"
"180" "Baccaurea parviflora" 0.625 0 0.125 0 "core"
"181" "Baccaurea polyneura" 0.5 0.125 0 0 "core"
"182" "Baccaurea pubera" 0.375 0 0 0 "core"
"183" "Baccaurea pyriformis" 0.625 0.25 0 0 "core"
"184" "Baccaurea reticulata" 0.25 0 0 0 "core"
"185" "Baccaurea sp. 06" 0 0.125 0 0 "core"
"186" "Baccaurea sumatrana" 0.25 0 0 0 "core"
"187" "Balakata baccata" 0 0.25 0 0.125 "core"
"188" "Barringtonia acutangula" 0.125 0 0 0 "core"
"189" "Barringtonia gigantostachya" 0 0.25 0 0 "core"
"190" "Barringtonia lanceolata" 0.375 0 0 0 "core"
"191" "Barringtonia macrostachya" 0.25 0.125 0 0 "core"
"192" "Barringtonia pendula" 0.25 0.125 0 0 "core"
"193" "Barringtonia scortechinii" 0.25 0.125 0 0 "core"
"194" "Bauhinia acuminata" 0.125 0.25 0 0 "core"
"195" "Bauhinia bidentata" 0.125 0.125 0 0 "core"
"196" "Bauhinia kockiana" 0.125 0.375 0.25 0 "core"
"197" "Bauhinia semibifida" 0.375 0.5 0.125 0.125 "general"
"198" "Bauhinia stipularis" 0.25 0.125 0 0 "core"
"199" "Begonia cf. aberrans" 0.125 0 0 0 "core"
"200" "Beilschmiedia madang" 0.5 0 0 0 "core"
"201" "Beilschmiedia maingayi" 0 0.125 0 0 "core"
"202" "Bellucia pentamera" 0 0 0.125 0.125 "core"
"203" "Bhesa paniculata" 0.625 0 0 0 "core"
"204" "Bhesa robusta" 0.125 0.125 0 0 "core"
"205" "Blechnum orientale" 0 0.375 0.25 0.375 "core"
"206" "Blechnum sp. 01" 0 0 0 0.125 "core"
"207" "Blumeodendron tokbrai" 0.125 0 0 0 "core"
"208" "Boesenbergia sp. 02" 0.25 0.125 0 0 "core"
"209" "Bolbitis heteroclita" 0.125 0 0 0 "core"
"210" "Botryophora geniculata" 0.125 0.125 0 0 "core"
"211" "Bouea macrophylla" 0.5 0 0 0 "core"
"212" "Breynia racemosa" 0 0.5 0.75 1 "core"
"213" "Bridelia glauca" 0 0.625 0.375 0.25 "core"
"214" "Bridelia insulana" 0 0 0.125 0.125 "core"
"215" "Bridelia tomentosa" 0 0.125 0 0.125 "core"
"216" "Bromheadia finlaysoniana" 0.125 0 0 0 "core"
"217" "Buchanania sessilifolia" 0.375 0.125 0 0 "core"
"218" "Burseraceae sp. 27" 0.125 0 0 0 "core"
"219" "Burseraceae sp. 28" 0.125 0 0 0 "core"
"220" "Burseraceae sp. 48" 0.125 0 0 0 "core"
"221" "Byttneria curtisii" 0.25 0.25 0 0.125 "core"
"222" "Byttneria reinwardtii" 0.25 0 0 0 "core"
