"variable" "F" "J" "O" "R" "group"
"450" "Diploclisia glaucescens" 0 0 0 0.125 "core"
"451" "Dipterocarpaceae sp. 15" 0.125 0.125 0 0 "core"
"452" "Dischidia lanceolata" 0.125 0 0 0 "core"
"453" "Dischidia punctata" 0.125 0 0 0 "core"
"454" "Discospermum abnorme" 0.625 0.125 0 0 "core"
"455" "Dissochaeta affinis" 0 0.125 0 0 "core"
"456" "Dissochaeta gracilis" 0.125 0.375 0.375 0.375 "general"
"457" "Dissochaeta sp. 01" 0 0.25 0 0 "core"
"458" "Dissochaeta sp. 02" 0 0.125 0 0 "core"
"459" "Donax canniformis" 0 0.125 0 0 "core"
"460" "Dracaena elliptica" 0.375 0.375 0.125 0.25 "general"
"461" "Dracaena sp. 05" 0 0.125 0 0 "core"
"462" "Dracaena sp. 07" 0.125 0 0 0 "core"
"463" "Dracontomelon dao" 0.375 0 0 0 "core"
"464" "Drepananthus biovulatus" 0.125 0.125 0 0 "core"
"465" "Drepananthus carinatus" 0.125 0.25 0.125 0 "core"
"466" "Drepananthus ramuliflorus" 0.625 0.25 0 0 "core"
"467" "Drimycarpus luridus" 0.125 0 0 0 "core"
"468" "Drynaria quercifolia" 0.125 0.25 0 0.125 "core"
"469" "Drypetes longifolia" 0.375 0 0 0 "core"
"470" "Durio excelsus" 0.5 0 0 0 "core"
"471" "Durio zibethinus" 0 0.25 0 0 "core"
"472" "Dyera costulata" 0.375 0.375 0 0 "core"
"473" "Dysoxylum alliaceum" 0.375 0.125 0 0 "core"
"474" "Dysoxylum arborescens" 0.125 0.125 0 0 "core"
"475" "Dysoxylum cauliflorum" 0.125 0 0 0 "core"
"476" "Dysoxylum densiflorum" 0.25 0 0 0 "core"
"477" "Dysoxylum excelsum" 0.5 0 0 0 "core"
"478" "Dysoxylumparasiticum" 0.125 0 0 0 "core"
"479" "Elaeis guineensis" 0 0.125 1 0.5 "core"
"480" "Elaeocarpus acronodia" 0 0 0.125 0 "core"
"481" "Elaeocarpus cf. oxypyren" 0.125 0 0 0 "core"
"482" "Elaeocarpus floribundus" 0 0.125 0 0 "core"
"483" "Elaeocarpus glaber" 0 0.125 0 0 "core"
"484" "Elaeocarpus grandiflorus" 0 0.125 0 0 "core"
"485" "Elaeocarpus mastersii" 0.5 0.5 0 0 "core"
"486" "Elaeocarpus nitidus" 0.375 0.125 0 0 "core"
"487" "Elaeocarpus petiolatus" 0.125 0.125 0 0 "core"
"488" "Elaeocarpus salicifolius" 0 0.125 0 0 "core"
"489" "Elaeocarpus serratus" 0.125 0.25 0.125 0.125 "general"
"490" "Elaeocarpus sp. 11" 0 0.125 0 0 "core"
"491" "Elaeocarpus sp. 13" 0 0.125 0 0 "core"
"492" "Elaeocarpus stipularis" 0.25 0.375 0.5 0.75 "general"
"493" "Elatostema parasiticum" 0.125 0 0 0 "core"
"494" "Elatostema raapii" 0.125 0 0 0 "core"
"495" "Elatostema sinuatum" 0.125 0 0 0 "core"
"496" "Elatostema sp. 03" 0.375 0 0 0 "core"
"497" "Elettaria cardamomum" 0 0.125 0 0 "core"
"498" "Elettaria sp. 01" 0 0.125 0 0 "core"
"499" "Elettaria sp. 02" 0.25 0.125 0 0 "core"
"500" "Embelia parviflora" 0.375 0.25 0 0 "core"
"501" "Embelia ribes" 0.5 0.125 0 0 "core"
"502" "Endiandra cf. clavigera" 0.125 0 0 0 "core"
"503" "Endiandra immersa" 0.125 0 0 0 "core"
"504" "Endiandra rubescens" 0.625 0.125 0 0 "core"
"505" "Endiandra sp. 05" 0.25 0 0 0 "core"
"506" "Endiandra sp. 07" 0 0.125 0 0 "core"
"507" "Endospermum diadenum" 0.5 0.5 0.125 0.25 "general"
"508" "Enkleia malaccensis" 0.25 0.375 0 0 "core"
"509" "Epigynum cf. ridleyi" 0 0.125 0 0.125 "core"
"510" "Erycibe crassipes" 0.125 0 0 0 "core"
"511" "Erycibe sp. 01" 0.5 0 0 0 "core"
"512" "Erycibe sp. 02" 0.125 0 0 0 "core"
"513" "Erycibe sumatrensis" 0 0.125 0 0 "core"
"514" "Erycibe tomentosa" 0.375 0.375 0.125 0.125 "general"
"515" "Erythroxylum cuneatum" 0.125 0 0 0 "core"
"516" "Etlingera sp. 01" 0 0.125 0 0 "core"
"517" "Etlingera sp. 02" 0 0.125 0 0 "core"
"518" "Eulophia spectabilis" 0 0.125 0 0.125 "core"
"519" "Euonymus cochinchinensis" 0 0 0 0.125 "core"
"520" "Euonymus glaber" 0 0.125 0 0 "core"
"521" "Euonymus japonicus" 0.125 0 0 0 "core"
"522" "Euonymus sp. 02" 0.125 0 0 0 "core"
"523" "Euphorbiaceae sp. 12" 0 0 0.125 0 "core"
"524" "Euphorbiaceae sp. 24" 0.125 0 0 0 "core"
"525" "Euphorbiaceae sp. 26" 0 0 0.125 0 "core"
"526" "Euphorbiaceae sp. 29" 0.125 0 0 0 "core"
"527" "Eurya acuminata" 0.125 0 0 0.125 "core"
"528" "Eurycoma longifolia" 0.625 0.5 0 0.125 "core"
"529" "Ewyckia cyanea" 0.125 0 0 0 "core"
"530" "Exallage costata" 0 0 0.125 0 "core"
"531" "Fabaceae sp. 21" 0 0 0.125 0 "core"
"532" "Fabaceae sp. 53" 0 0.125 0 0 "core"
"533" "Fagaceae sp. 01" 0.125 0 0 0 "core"
"534" "Fagaceae sp. 02" 0 0.125 0 0 "core"
"535" "Fagaceae sp. 04" 0 0.125 0 0 "core"
"536" "Fagaceae sp. 05" 0.125 0 0 0 "core"
"537" "Fagraea racemosa" 0.125 0 0 0 "core"
"538" "Farn 24" 0.125 0 0 0 "core"
"539" "Farn 36" 0.125 0 0 0 "core"
"540" "Fibraurea darshanii" 0.125 0.375 0 0 "core"
"541" "Fibraurea tinctoria" 0.125 0 0 0 "core"
"542" "Ficus aurata" 0 0 0.5 0.375 "core"
"543" "Ficus auriculata" 0 0 0.125 0 "core"
"544" "Ficus chartacea" 0 0.125 0 0 "core"
"545" "Ficus crassiramea" 0.125 0.125 0 0 "core"
"546" "Ficus fulva" 0 0.125 0 0 "core"
"547" "Ficus globosa" 0.25 0.375 0 0 "core"
"548" "Ficus grossularioides" 0.125 0.25 0.25 0.125 "general"
"549" "Ficus heteropleura" 0.375 0.125 0 0.375 "core"
"550" "Ficus hirta" 0 0.125 0 0 "core"
"551" "Ficus racemosa" 0 0.125 0 0 "core"
"552" "Ficus ribes" 0 0.125 0 0 "core"
"553" "Ficus sagittata" 0.125 0.5 0 0 "core"
"554" "Ficus schwarzii" 0 0.125 0 0 "core"
"555" "Ficus sp. 36" 0 0.125 0 0 "core"
"556" "Ficus sp. 38" 0.125 0 0 0 "core"
"557" "Ficus variegata" 0.125 0.625 0.75 0.625 "general"
"558" "Ficus virens" 0 0.125 0 0 "core"
"559" "Fimbristylis dichotoma" 0 0 0.125 0.125 "core"
"560" "Fissistigma latifolium" 0.5 0.125 0 0 "core"
"561" "Fissistigma manubriatum" 0.75 0.375 0 0 "core"
"562" "Fissistigma sp. 01" 0.25 0 0 0 "core"
"563" "Fissistigma sp. 02" 0.125 0 0 0 "core"
"564" "Fissistigma sp. 05" 0.125 0 0 0 "core"
"565" "Flagellaria indica" 0 0 0.125 0 "core"
"566" "Fordia nivea" 0.125 0.25 0.125 0 "core"
"567" "Fordiasplendidissima" 0 0 0.125 0 "core"
"568" "Fordia stipularis" 0.25 0.25 0.125 0 "core"
"569" "Freycinetia angustifolia" 0.125 0 0 0 "core"
"570" "Friesodielsia biglandulosa" 0.875 0 0.125 0 "core"
"571" "Friesodielsia borneensis" 0.125 0 0 0 "core"
"572" "Friesodielsiacuneiformis" 0.125 0 0 0 "core"
"573" "Galearia aristifera" 0 0.5 0 0.125 "core"
"574" "Galearia filiformis" 0.25 0.25 0 0.25 "core"
"575" "Galearia fulva" 0.5 0.375 0 0 "core"
"576" "Galearia maingayi" 0.375 0 0 0 "core"
"577" "Ganophyllum falcatum" 0.125 0 0 0 "core"
"578" "Garcinia atroviridis" 0 0.125 0 0 "core"
"579" "Garcinia dioica" 0.125 0 0 0 "core"
"580" "Garcinia gaudichaudii" 0.75 0.125 0 0 "core"
"581" "Garcinia graminea" 0.125 0.125 0 0 "core"
"582" "Garcinia griffithii" 0 0.125 0 0 "core"
"583" "Garcinia macrophylla" 0.5 0 0 0 "core"
"584" "Garcinia parvifolia" 0.5 0.625 0 0 "core"
"585" "Garcinia rostrata" 0.375 0 0 0 "core"
"586" "Garcinia sp. 04" 0 0.125 0 0 "core"
"587" "Garcinia sp. 05" 0 0.125 0 0 "core"
"588" "Garcinia sp. 06" 0 0.125 0 0 "core"
"589" "Garcinia sp. 07" 0 0.125 0 0 "core"
"590" "Garcinia sp. 16" 0.125 0 0 0 "core"
"591" "Garcinia sp. 17" 0.125 0 0 0 "core"
"592" "Garcinia sp. 18" 0.125 0 0 0 "core"
"593" "Gardenia cf. forsteniana" 0.125 0 0 0 "core"
"594" "Gardenia tubifera" 0.25 0.5 0.125 0.125 "general"
"595" "Gigantochloa kuring" 0 0.125 0 0 "core"
"596" "Gironniera hirta" 0.625 0.75 0 0.125 "core"
"597" "Gironniera nervosa" 0.875 0.375 0 0 "core"
"598" "Gironniera subaequalis" 0.125 0.125 0 0 "core"
"599" "Globba leucantha" 0 0.125 0 0 "core"
"600" "Globba pendula" 0.125 0.25 0 0 "core"
"601" "Glochidion cf. leucocarpum" 0 0 0 0.125 "core"
"602" "Glochidion lutescens" 0 0.125 0 0 "core"
"603" "Glochidion philippicum" 0 0.125 0 0.125 "core"
"604" "Glochidion rubrum" 0.25 0 0 0 "core"
"605" "Glochidion sericeum" 0 0 0.125 0.125 "core"
"606" "Glochidion sp. 25" 0 0 0 0.125 "core"
"607" "Glochidion sp. 26" 0 0 0 0.125 "core"
"608" "Glochidion sp. 27" 0 0.125 0 0 "core"
"609" "Glochidion superbum" 0.125 0.375 0 0 "core"
"610" "Glochidion zeylanicum" 0 0.375 0 0 "core"
"611" "Gluta wallichii" 0 0.125 0 0 "core"
"612" "Glycosmis pentaphylla" 0.125 0.375 0 0 "core"
"613" "Gnetum cuspidatum" 0.875 0.875 0.25 0.25 "general"
"614" "Gomphandra javanica" 0.125 0 0 0 "core"
"615" "Gomphandra quadrifida" 0.375 0.25 0 0 "core"
"616" "Gomphandra sp. 01" 0 0.125 0 0 "core"
"617" "Gomphia serrata" 0 0.25 0 0 "core"
"618" "Gomphostemma javanicum" 0.125 0 0 0 "core"
"619" "Goniophlebium percussum" 0 0.125 0.875 0 "core"
"620" "Goniothalamus costulatus" 0 0.125 0 0 "core"
"621" "Goniothalamus macrophyllus" 1 0.375 0 0 "core"
"622" "Goniothalamus malayanus" 0.125 0 0 0 "core"
"623" "Gonocaryum gracile" 0.75 0.375 0 0 "core"
"624" "Gonocaryum macrophyllum" 0.125 0 0 0 "core"
"625" "Gonystylus acuminatus" 0.125 0 0 0 "core"
"626" "Gonystylus affinis" 0.125 0 0 0 "core"
"627" "Gonystylus forbesii" 0.125 0 0 0 "core"
"628" "Gonystylus maingayi" 0.25 0.125 0 0 "core"
"629" "Goodyera sp. 01" 0 0.25 0 0 "core"
"630" "Gordonia oblongifolia" 0.5 0.125 0 0 "core"
"631" "Grenacheria amentacea" 0 0.125 0 0 "core"
"632" "Grewia laevigata" 0.375 0.125 0 0 "core"
"633" "Grewia multiflora" 0.125 0 0 0 "core"
"634" "Guioa multijuga" 0.25 0 0 0 "core"
"635" "Gymnacranthera bancana" 0.5 0.25 0 0 "core"
"636" "Gymnacranthera farquhariana" 0.625 0.375 0.125 0 "core"
"637" "Gymnacranthera forbesii" 0.125 0.125 0 0 "core"
"638" "Gynochthodes coriacea" 0.375 0 0 0.125 "core"
"639" "Gynotroches axillaris" 0.625 0.375 0.375 0.25 "general"
"640" "Hancea penangensis" 0.125 0 0 0 "core"
"641" "Hanguana malayana" 0.5 0 0 0 "core"
"642" "Helicia excelsa" 0.5 0.375 0 0.25 "core"
"643" "Helicia fuscotomentosa" 0.125 0 0 0 "core"
"644" "Helicia robusta" 0 0.125 0 0 "core"
"645" "Helicia sp. 07" 0.125 0 0 0 "core"
"646" "Helicia sp. 08" 0 0.25 0 0 "core"
"647" "Helicia sp. 09" 0.125 0 0.125 0 "core"
"648" "Heritiera sp. 03" 0 0.125 0 0 "core"
"649" "Heritiera sumatrana" 0.375 0.25 0 0 "core"
"650" "Heterosmilax micrantha" 0 0.125 0 0 "core"
"651" "Hevea brasiliensis" 0 1 0.25 1 "core"
"652" "Hiptage cf. sericea" 0.125 0 0 0 "core"
"653" "Homalium caryophyllaceum" 0.25 0 0 0 "core"
"654" "Homalium cf. foetidum" 0 0.125 0 0 "core"
"655" "Homalomena cordata" 0.25 0 0.125 0 "core"
"656" "Hopea beccariana" 0.125 0 0 0 "core"
"657" "Hopea ferruginea" 0.5 0 0 0 "core"
"658" "Hopea sangal" 0.375 0 0 0 "core"
"659" "Hornstedtia cf. conica" 0 0.125 0 0.125 "core"
"660" "Hornstedtia cf. elongata" 0 0.25 0 0 "core"
"661" "Hornstedtia sp. 01" 0 0.375 0 0 "core"
"662" "Hornstedtia sp. 02" 0.125 0 0 0 "core"
"663" "Hornstedtia sp. 03" 0 0.25 0.125 0.125 "core"
"664" "Hornstedtia tomentosa" 0.125 0.125 0 0 "core"
"665" "Horsfieldia cf. fulva" 0.25 0.125 0 0 "core"
"666" "Horsfieldia glabra" 0.875 0 0 0 "core"
"667" "Horsfieldia grandis" 0.375 0.125 0 0 "core"
"668" "Horsfieldia macrothyrsa" 0.25 0 0 0 "core"
"669" "Horsfieldia polyspherula" 0.25 0.125 0 0 "core"
"670" "Horsfieldia pulcherrima" 0.25 0.125 0 0 "core"
"671" "Horsfieldia punctatifolia" 0.125 0 0 0 "core"
"672" "Horsfieldia superba" 0 0.125 0 0 "core"
"673" "Hugonia costata" 0.375 0.125 0 0 "core"
"674" "Hunteria zeylanica" 0.25 0 0 0 "core"
"675" "Hydnocarpus cf. sumatrana" 0.375 0 0 0 "core"
"676" "Hydnocarpus cf. wrayi" 0.125 0 0 0 "core"
"677" "Hydnocarpus polypetalus" 0.125 0 0 0 "core"
"678" "Hypericaceae sp. 02" 0.125 0 0 0 "core"
"679" "Hypserpa nitida" 0.125 0 0.125 0 "core"
"680" "Hypserpa polyandra" 0 0 0 0.125 "core"
"681" "Hyptis capitata" 0 0 0.125 0.125 "core"
"682" "Ilex cymosa" 0 0.125 0 0 "core"
"683" "Imperata cylindrica" 0 0.125 0.5 0.75 "core"
"684" "Intsia sp. 01" 0 0.125 0 0 "core"
"685" "Iodes cirrhosa" 0 0.125 0 0.125 "core"
"686" "Ipomoea sumatrana" 0 0 0.125 0 "core"
"687" "Irvingia malayana" 0.25 0.125 0 0 "core"
"688" "Ixonanthes icosandra" 0.125 0 0 0 "core"
"689" "Ixonanthes petiolaris" 0.125 0.75 0 0.25 "core"
"690" "Ixora congesta" 0.25 0.125 0 0 "core"
"691" "Ixora grandifolia" 0.375 0 0 0.125 "core"
"692" "Ixora reticulata" 0 0.375 0 0.125 "core"
"693" "Ixora salicifolia" 0 0.125 0 0 "core"
"694" "Ixora sp. 08" 0.125 0 0 0 "core"
"695" "Jasminum elongatum" 0.125 0 0 0 "core"
"696" "Kadsura scandens" 0 0.125 0 0 "core"
"697" "Kibara coriacea" 0.125 0 0 0 "core"
"698" "Kibatalia maingayi" 0.125 0.25 0 0 "core"
"699" "Knema cinerea" 0.25 0.125 0 0 "core"
"700" "Knema furfuracea" 0.125 0 0 0 "core"
"701" "Knema glaucescens" 0.5 0 0 0 "core"
"702" "Knema latifolia" 0.125 0.125 0 0 "core"
"703" "Knema laurina" 0.375 0 0 0 "core"
"704" "Knema sp. 09" 0.125 0 0 0 "core"
"705" "Kohautia cynanchica" 0 0 0 0.125 "core"
"706" "Koilodepas brevipes" 0.125 0 0 0 "core"
"707" "Kokoona ochracea" 0.375 0 0 0 "core"
"708" "Koompassia malaccensis" 0.75 0.5 0.125 0 "core"
"709" "Korthalsia robusta" 0.375 0 0 0 "core"
"710" "Korthalsia sp. 03" 0.125 0 0 0 "core"
"711" "Korthalsia sp. 04" 0.125 0 0 0 "core"
"712" "Kunstleria ridleyi" 0.875 0.25 0 0.125 "core"
"713" "Lagerstroemia speciosa" 0.125 0.125 0 0.125 "core"
"714" "Lamiaceae sp. 07" 0 0.125 0 0 "core"
"715" "Lamiaceae sp. 08" 0 0.125 0 0 "core"
"716" "Lansiumparasiticum" 0.125 0 0 0 "core"
"717" "Lantana camara" 0 0 0.125 0.25 "core"
"718" "Lasianthus attenuatus" 0.25 0.125 0 0 "core"
"719" "Lasianthus inaequalis" 0.25 0 0 0 "core"
"720" "Lasianthus inodorus" 0.375 0 0 0 "core"
"721" "Lasianthus reticulatus" 0.375 0 0 0 "core"
"722" "Lasianthus stercorarius" 0.375 0 0 0 "core"
"723" "Lasianthus sylvestris" 0.125 0 0 0 "core"
"724" "Lasianthus tomentosus" 0 0.125 0 0 "core"
"725" "Lasianthus verticillatus" 0.125 0 0 0 "core"
"726" "Lauraceae sp. 07" 0 0.125 0 0 "core"
"727" "Lauraceae sp. 16" 0.125 0 0 0 "core"
"728" "Leea indica" 0.125 0.375 0.375 0.25 "general"
"729" "Legazpia polygonoides" 0 0 0.25 0 "core"
"730" "Lepisanthes tetraphylla" 0 0.125 0 0 "core"
"731" "Leptaspis urceolata" 0.375 0 0 0 "core"
"732" "Leptochilus cf. decurrens" 0.25 0 0 0 "core"
"733" "Leptonychia caudata" 0.25 0.375 0 0 "core"
"734" "Leptonychia heteroclita" 0.5 0 0 0 "core"
"735" "Leuconotis eugeniifolia" 0.25 0.25 0 0.125 "core"
"736" "Levieria sp. 01" 0.25 0 0 0 "core"
"737" "Licuala spinosa" 0.5 0 0 0 "core"
"738" "Limacia scandens" 0.5 0.25 0.375 0.25 "general"
"739" "Lindera insignis" 0.25 0.375 0 0 "core"
"740" "Lindera lucida" 0 0.125 0 0 "core"
"741" "Lindernia crustacea" 0 0 0.625 0.375 "core"
"742" "Lindernia diffusa" 0 0.125 1 0.5 "core"
"743" "Lindsaea ensifolia" 0.25 1 1 1 "general"
"744" "Lindsaeanitida" 0.125 0 0 0 "core"
"745" "Lindsaea repens" 0.125 0 0 0 "core"
"746" "Lithocarpus blumeanus" 0.375 0.25 0 0 "core"
"747" "Lithocarpus cf. cantleyanus" 0 0.125 0 0 "core"
"748" "Lithocarpus gracilis" 0.25 0 0 0 "core"
"749" "Lithocarpus hystrix" 0.25 0 0 0 "core"
"750" "Lithocarpus sp. 01" 0.125 0 0 0 "core"
"751" "Lithocarpus sp. 04" 0.125 0 0 0 "core"
"752" "Litsea aurea" 0.125 0 0 0 "core"
"753" "Litsea castanea" 0 0.125 0 0 "core"
"754" "Litsea cf. javanica" 0 0.125 0 0 "core"
"755" "Litsea cubeba" 0.375 0 0 0 "core"
"756" "Litsea elliptica" 0.25 0.25 0 0.125 "core"
"757" "Litsea firma" 0.625 0.25 0 0.125 "core"
"758" "Litsea forstenii" 0.625 0 0 0 "core"
"759" "Litsea glutinosa" 0.125 0 0 0 "core"
"760" "Litsea grandis" 0.25 0.25 0 0 "core"
"761" "Litsea lanceolata" 0.25 0 0 0 "core"
"762" "Litsea machilifolia" 0.375 0 0 0 "core"
"763" "Litsea monopetala" 0.125 0.125 0.125 0 "core"
"764" "Litsea noronhae" 0.25 0.125 0 0 "core"
"765" "Litsea oppositifolia" 0.625 0 0 0 "core"
"766" "Litsea resinosa" 0.5 0 0 0 "core"
"767" "Litsea robusta" 0.375 0.125 0 0 "core"
"768" "Litsea sp. 18" 0.125 0 0 0 "core"
"769" "Litsea umbellata" 0.25 0.125 0 0 "core"
"770" "Loganiaceae sp. 01" 0 0.125 0 0 "core"
"771" "Lophatherum gracile" 0 0.25 0 0 "core"
"772" "Lophopetalum beccarianum" 0.125 0.125 0 0 "core"
"773" "Lophopetalum javanum" 0.25 0 0 0 "core"
"774" "Lucinaea sp. 01" 0.5 0.125 0 0 "core"
"775" "Ludwigia octovalvis" 0 0 0.125 0.125 "core"
"776" "Lunasia amara" 0.125 0 0 0 "core"
"777" "Luvunga eleutherandra" 0.125 0.125 0 0 "core"
"778" "Luvunga motleyi" 0 0.125 0 0 "core"
"779" "Luvunga sarmentosa" 0.375 0 0 0 "core"
"780" "Lycopodiella cernua" 0 0 0.625 0 "core"
"781" "Lygodium cf. longifolium" 0 0.25 0 0 "core"
"782" "Lygodium circinatum" 0 0.125 0.75 0.5 "core"
"783" "Lygodium flexuosum" 0 0.125 0.5 0.125 "core"
"784" "Lygodium microphyllum" 0 0 0.625 0.125 "core"
"785" "Lygodium salicifolium" 0 0.375 0.625 0.625 "core"
"786" "Maasia glauca" 0.375 0.125 0 0 "core"
"787" "Maasia hypoleuca" 0.125 0 0 0 "core"
"788" "Maasia sumatrana" 0.5 0 0 0 "core"
"789" "Macaranga bancana" 0.125 1 0.25 0.875 "general"
"790" "Macaranga conifera" 0.125 0.375 0 0.125 "core"
"791" "Macaranga gigantea" 0.25 0.375 0.25 0.125 "general"
"792" "Macaranga heynei" 0 0 0.125 0 "core"
"793" "Macaranga hosei" 0 0.5 0.125 0.25 "core"
"794" "Macaranga hullettii" 0.125 0 0 0.25 "core"
"795" "Macaranga hypoleuca" 0.125 0.375 0 0.25 "core"
"796" "Macaranga javanica" 0 0 0.125 0 "core"
"797" "Macaranga sumatrana" 0.125 0.875 0 0 "core"
"798" "Macaranga trichocarpa" 0.125 0 0.125 0.125 "core"
"799" "Madhuca motleyana" 0.125 0 0 0 "core"
"800" "Madhuca penicillata" 0.5 0.25 0 0 "core"
"801" "Madhuca sericea" 0.125 0 0 0 "core"
"802" "Maesa ramentacea" 0 0.25 0.75 0.375 "core"
"803" "Magnolia elegans" 0.125 0 0 0 "core"
"804" "Mallotus macrostachyus" 0 0.25 0 0.25 "core"
"805" "Mallotus mollissimus" 0 0.125 0 0.125 "core"
"806" "Mallotus peltatus" 0.125 0.25 0.125 0 "core"
"807" "Mallotus sp. 09" 0 0 0.125 0 "core"
"808" "Malvaceae sp. 19" 0 0.125 0 0 "core"
"809" "Mangifera caesia" 0.125 0 0 0 "core"
"810" "Mangifera foetida" 0.125 0.125 0 0.125 "core"
"811" "Mangifera laurina" 0 0.125 0 0 "core"
"812" "Mangifera odorata" 0.25 0 0 0 "core"
"813" "Mangifera torquenda" 0.125 0 0 0 "core"
"814" "Mapania cuspidata" 0.125 0 0 0 "core"
"815" "Mapania longiflora" 0.25 0 0 0 "core"
"816" "Mapaniasessilis" 0 0.125 0 0 "core"
"817" "Mapania tenuiscapa" 0 0.375 0 0 "core"
"818" "Maranthaceae sp. 03" 0.25 0 0 0 "core"
"819" "Marantodes pumilum" 0.625 0.125 0 0 "core"
"820" "Marumia sp. 01" 0 0.125 0 0 "core"
"821" "Mastixia rostrata" 0.125 0 0 0 "core"
"822" "Meiogyne virgata" 0.125 0 0 0 "core"
"823" "Melanochyla beccariana" 0.125 0 0 0 "core"
"824" "Melanochyla tomentosa" 0.125 0.125 0 0 "core"
"825" "Melanolepis multiglandulosa" 0 0.125 0 0 "core"
"826" "Melastoma malabathricum" 0 0.875 0.75 0.875 "core"
"827" "Meliaceae sp. 07" 0 0.125 0 0 "core"
"828" "Meliaceae sp. 30" 0.125 0 0 0 "core"
"829" "Meliaceae sp. 32" 0.125 0 0 0 "core"
"830" "Meliaceae sp. 33" 0.125 0 0 0 "core"
"831" "Meliaceae sp. 34" 0.125 0 0 0 "core"
"832" "Meliaceae sp. 35" 0.125 0 0 0 "core"
"833" "Melicope cf. triphylla" 0 0.25 0 0 "core"
"834" "Melicope glabra" 0.375 0.625 0.125 0 "core"
"835" "Melicope latifolia" 0.125 0 0 0 "core"
"836" "Melodinus orientalis" 0.125 0.125 0 0 "core"
"837" "Melodinus sp. 01" 0.125 0 0 0 "core"
"838" "Memecylon edule" 0.375 0 0 0 "core"
"839" "Memecylon garcinioides" 0.125 0 0 0 "core"
"840" "Memecylon myrsinoides" 0.5 0.125 0 0 "core"
"841" "Memecylon paniculatum" 0.25 0 0 0 "core"
"842" "Menispermum glabrum" 0.125 0 0 0 "core"
"843" "Merremia umbellata" 0 0.125 0.125 0 "core"
"844" "Mezzettia parviflora" 0.5 0 0 0 "core"
"845" "Microcos florida" 0.25 0 0 0 "core"
"846" "Microcos henrici" 0.125 0 0 0 "core"
"847" "Microcos hirsuta" 0 0.25 0 0 "core"
"848" "Microcos paniculata" 0.25 0.125 0 0 "core"
"849" "Microlepia cf. hancei" 0 0 0.25 0 "core"
"850" "Microlepiaspeluncae" 0 0 0.125 0 "core"
"851" "Micromelum minutum" 0 0.125 0 0 "core"
"852" "Mikania micrantha" 0.125 0 0.75 0.375 "core"
"853" "Millettia sericea" 0 0.125 0.125 0 "core"
"854" "Millettia sp. 01" 0 0 0 0.25 "core"
"855" "Mimosa pudica" 0 0 0.25 0 "core"
"856" "Mischocarpus cf. sundaicus" 0.125 0 0 0 "core"
"857" "Mischocarpus sumatranus" 0 0.125 0 0 "core"
"858" "Mitrella kentii" 0 0.5 0 0 "core"
"859" "Mitrephora sp. 02" 0.125 0 0 0 "core"
"860" "Molineria latifolia" 0.125 0.75 0.625 0.625 "general"
"861" "Morinda villosa" 0 0.125 0 0 "core"
"862" "Mucuna biplicata" 0.25 0.125 0 0 "core"
"863" "Musa sp. 02" 0 0 0 0.125 "core"
"864" "Mussaenda frondosa" 0.125 0.75 0.75 1 "general"
"865" "Mussaenda sp. 01" 0 0 0.125 0 "core"
"866" "Myristicagigantea" 0.125 0 0 0 "core"
"867" "Myristica iners" 0.75 0 0 0 "core"
"868" "Myristica maingayi" 0 0.125 0 0 "core"
"869" "Myristica maxima" 0.375 0 0 0 "core"
"870" "Myristica villosa" 0.125 0 0 0 "core"
"871" "Myrtaceae sp. 03" 0.125 0 0 0 "core"
"872" "Myrtaceae sp. 05" 0.125 0 0 0 "core"
"873" "Myrtaceae sp. 06" 0 0.125 0 0 "core"
"874" "Myrtaceae sp. 08" 0.125 0 0 0 "core"
"875" "Myrtaceae sp. 09" 0.125 0 0 0 "core"
"876" "Myrtaceae sp. 12" 0.125 0 0 0 "core"
"877" "Myrtaceae sp. 22" 0.125 0 0 0 "core"
"878" "Myrtaceae sp. 23" 0.125 0 0 0 "core"
"879" "Myrtaceae sp. 24" 0.125 0 0 0 "core"
"880" "Myrtaceae sp. 25" 0.125 0 0 0 "core"
"881" "Nageia wallichiana" 0.25 0 0 0 "core"
"882" "Nauclea cf. officinalis" 0 0 0.125 0 "core"
"883" "Nauclea orientalis" 0 0 0.25 0 "core"
"884" "Nauclea subdita" 0.125 0.125 0.125 0.125 "general"
"885" "Neolitsea cinnamomea" 0 0.125 0 0 "core"
"886" "Neonauclea calycina" 0 0.125 0 0 "core"
"887" "Neonauclea excelsa" 0 0.125 0 0 "core"
"888" "Neoscortechinia kingii" 0.625 0 0 0 "core"
"889" "Neo-uvaria acuminatissima" 0.375 0 0 0 "core"
"890" "Nephelium cuspidatum" 0.625 0.25 0 0 "core"
"891" "Nephelium eriopetalum" 0.125 0 0 0 "core"
"892" "Nephelium juglandifolium" 0.125 0 0 0 "core"
"893" "Nephelium lappaceum" 0.125 0.125 0 0 "core"
"894" "Nephelium laurinum" 0.125 0 0 0 "core"
"895" "Nephelium mangayi" 0 0.125 0 0 "core"
"896" "Nephelium mutabile" 0.125 0.625 0 0 "core"
"897" "Nephelium rubescens" 0.5 0 0 0 "core"
"898" "Nephelium subfalcatum" 0.125 0.125 0 0 "core"
"899" "Nephrolepis biserrata" 0 0.625 1 0.125 "core"
"900" "Nostolachma densiflora" 0.25 0 0 0 "core"
"901" "Nothaphoebe umbelliflora" 0.125 0 0 0 "core"
"902" "Ochanostachys amentacea" 0.75 0.125 0 0 "core"
