rownr,name,prob_forest,prob_jungle,prob_oilpalm,prob_rubber
119,Aporosa symplocoides,0.475716827,0,0,0
120,Aporosa whitmorei ,0,0.125,0,0
121,Aquilaria malaccensis,0.145178777,0.043309399,0,0.01202336
122,Araceae sp. 02,0.125,0,0,0
123,Araceae sp. 22,0.066633815,0,0,0
124,Aralidium pinnatifidum,0.097380085,0,0,0
125,Arcangelisia flava,0.346647735,0.240009182,0,0
126,Archidendron bubalinum,0.347760742,0.696620291,0.125,0.215176522
127,Archidendron clypearia,0.157261943,0.125,0,0
128,Archidendron fagifolium,0.335528465,0.322693801,0,0
129,Archidendron jiringa,0,0.124997114,0.058775684,0
130,Archidendron microcarpum,0.22579125,0.186998424,0,0
131,Ardisia fuliginosa,0.482543226,0,0,0
132,Ardisia korthalsiana,0,0.124999998,0,0
133,Ardisia odontophylla,0.048789288,0,0,0
134,Ardisia pterocaulis,0.125,0,0,0
135,Ardisia purpurea,0.216360352,0,0,0
136,Ardisia sanguinolenta,0.191005378,0.244866199,0,0
137,Ardisia sp. 05,0,0.125,0,0
138,Ardisia sp. 08,0.078544962,0,0,0
139,Ardisia sp. 09,0.103556841,0,0,0
140,Ardisia villosa,0.115133724,0,0,0
141,Areca sp. 02,0.097760742,0,0,0
142,Arecaceae sp. 01,0,0.043309399,0,0
143,Arecaceae sp. 02,0.119076068,0,0,0
144,Arecaceae sp. 05,0.103556841,0,0,0
145,Arecaceae sp. 06,0.214230479,0,0,0
146,Arecaceae sp. 11,0.066227688,0,0,0
147,Arecaceae sp. 13,0.097380085,0,0,0
148,Artabotrys hexapetalus,0.377140346,0,0,0
149,Artabotrys maingayi,0.048789288,0.118313124,0,0
150,Artabotrys suaveolens,0.212569315,0,0,0
151,Artabotrys tomentosus,0.066227688,0,0,0
152,Artocarpus anisophyllus,0.190189552,0.1936853,0,0.01202336
153,Artocarpus dadah,0.066633815,0.490789645,0,0
154,Artocarpus elasticus,0.191210873,0.844967379,0,0.041607069
155,Artocarpus heterophyllus,0,0,0,0.004981497
156,Artocarpus hispidus,0.048789288,0,0,0
157,Artocarpus integer,0.435701354,0.483015719,0,0
158,Artocarpus kemando,0.280148552,0.430863409,0,0
159,Artocarpus nitidus,0.260668761,0.233061655,0,0
160,Artocarpus rigida,0,0.108061889,0,0
161,Artocarpus rigidus,0.504221612,0.713490462,0,0.01202336
162,Artocarpus sp. 04,0,0,0.018353623,0
163,Arytera littoralis,0.211188915,0.203712222,0,0
164,Asplenium bantamense,0.078544962,0,0,0
165,Asplenium glaucophyllum,0.234916908,0,0,0
166,Asplenium longissimum,0,0,0.373699384,0
167,Asplenium nidus,0.392044415,0.304570289,0.070090486,0
168,Asystasia gangetica,0,0.07944205,0.875,0.25
169,Atuna racemosa,0.048789288,0,0,0
170,Axonopus compressus,0,0.400019572,1,0.991646359
171,Baccaurea cf. velutina,0.109916908,0,0,0
172,Baccaurea deflexa,0.125,0,0,0
173,Baccaurea dulcis,0.3690504,0.12490616,0,0
174,Baccaurea javanica,0.301199581,0.108061889,0,0
175,Baccaurea lanceolata,0,0.108061889,0,0
176,Baccaurea macrocarpa,0.222156452,0.233060507,0,0.004378284
177,Baccaurea macrophylla,0.066633815,0,0,0
178,Baccaurea minor,0.337817713,0.124692861,0,0
179,Baccaurea mollis,0.402052451,0,0,0
180,Baccaurea parviflora,0.55783665,0,0.016674763,0
181,Baccaurea polyneura,0.368060468,0.108061889,0,0
182,Baccaurea pubera,0.342733104,0,0,0
183,Baccaurea pyriformis,0.541059639,0.233061841,0,0
184,Baccaurea reticulata,0.214230479,0,0,0
185,Baccaurea sp. 06,0,0.071620558,0,0
186,Baccaurea sumatrana,0.218713714,0,0,0
187,Balakata baccata,0,0.249991549,0,0.022893964
188,Barringtonia acutangula,0.048789288,0,0,0
189,Barringtonia gigantostachya,0,0.247714349,0,0
190,Barringtonia lanceolata,0.316226389,0,0,0
191,Barringtonia macrostachya,0.174383442,0.043309399,0,0
192,Barringtonia pendula,0.188462097,0.083963372,0,0
193,Barringtonia scortechinii,0.249996968,0.108061889,0,0
194,Bauhinia acuminata,0.089855286,0.230504424,0,0
195,Bauhinia bidentata,0.112293919,0.125,0,0
196,Bauhinia kockiana,0.066633815,0.358061889,0.235777936,0
197,Bauhinia semibifida,0.3555945,0.447755106,0.034013691,0.011424016
198,Bauhinia stipularis,0.248189593,0.124999998,0,0
199,Begonia cf. aberrans,0.119076068,0,0,0
200,Beilschmiedia madang,0.439069545,0,0,0
201,Beilschmiedia maingayi,0,0.125,0,0
202,Bellucia pentamera,0,0,0.056025116,0.027073404
203,Bhesa paniculata,0.453896852,0,0,0
204,Bhesa robusta,0.066227688,0.07944205,0,0
205,Blechnum orientale,0,0.318029398,0.030687512,0.137111775
206,Blechnum sp. 01,0,0,0,0.020564042
207,Blumeodendron tokbrai,0.089855286,0,0,0
208,Boesenbergia sp. 02,0.25,0.043309399,0,0
209,Bolbitis heteroclita,0.122239484,0,0,0
210,Botryophora geniculata,0.066633815,0.0686853,0,0
211,Bouea macrophylla,0.34756681,0,0,0
212,Breynia racemosa,0,0.376662266,0.477302685,0.673994946
213,Bridelia glauca,0,0.447833446,0.211082659,0.086001494
214,Bridelia insulana,0,0,0.014012749,0.014358797
215,Bridelia tomentosa,0,0.090124874,0,0.106660113
216,Bromheadia finlaysoniana,0.066227688,0,0,0
217,Buchanania sessilifolia,0.239242938,0.102217712,0,0
218,Burseraceae sp. 27,0.048789288,0,0,0
219,Burseraceae sp. 28,0.048789288,0,0,0
220,Burseraceae sp. 48,0.103556841,0,0,0
221,Byttneria curtisii,0.191633815,0.25,0,0.123081392
222,Byttneria reinwardtii,0.182092343,0,0,0
223,Caesalpinia sumatrana,0,0.125,0.095330014,0.122667208
224,Calamus aff. C. axillaris,0,0.124999242,0,0
225,Calamus aff. C. concinnus,0.097380085,0,0,0
226,Calamus aff. C. rugosus,0.173789288,0.240922657,0,0
227,Calamus aff. C. sarawakensis,0,0.108061889,0,0
228,Calamus arborescens,0.124974331,0,0,0
229,Calamus cf. conirostris,0.12498359,0,0,0
230,Calamus exilis,0.124783852,0,0,0
231,Calamus javensis,0,0.122714349,0,0
232,Calamus laxissimus,0.048789288,0,0,0
233,Calamus luridus,0.125,0,0,0
234,Calamus ornatus,0.228540431,0.122295416,0,0
235,Calamus oxleyanus,0,0.25,0,0
236,Calamus rugosus,0.125,0,0,0
237,Calamus sp. 01,0.249999995,0,0,0
238,Calamus sp. 03,0.125,0,0,0
239,Calamus sp. 08,0,0.043309399,0,0
240,Calamus sp. 10,0.097760742,0.124999481,0,0
241,Calamus sp. 12,0.173190746,0,0,0
242,Calamus sp. 13,0.112293919,0,0,0
243,Calamus sp. 14,0.066633815,0,0,0
244,Calamus sp. 15,0.066633815,0,0,0
245,Calamus sp. 18,0.097760742,0.0686853,0,0
246,Calamus sp. 21,0.078544962,0,0,0
247,Calamus sp. 22,0.048789288,0,0,0
248,Calamus sp. 27,0,0.072848046,0,0
249,Calamus sp. 28,0,0.12434677,0,0
250,Calamus sp. 29,0,0.103254743,0,0
251,Calamus sp. 30,0.256983506,0,0,0
252,Calamus sp. 31,0.388734181,0,0,0
253,Calamus sp. 33,0.475716354,0,0,0
254,Calamus sp. 34,0.379641519,0,0,0
255,Calamus sp. 35,0.218690565,0,0,0
256,Calamus sp. 40,0.112026463,0,0,0
257,Calamus tumidus,0.243955773,0,0,0
258,Callerya atropurpurea,0.261683754,0.507247495,0,0.011424016
259,Callerya vasta,0,0.118313124,0,0
260,Callicarpa cf. candicans,0,0,0,0.004981497
261,Callicarpa pentandra,0,0.043309399,0,0.006263422
262,Calophyllum pulcherrimum,0.499996904,0,0.043650679,0.01202336
263,Calophyllum soulattri,0.191121565,0,0,0
264,Calophyllum sp. 01,0.125,0,0,0
265,Calophyllum sp. 03,0.234916908,0,0,0.01202336
266,Calophyllum sp. 04,0.109916908,0,0,0
267,Calophyllum sp. 05,0,0.043309399,0,0
268,Calopogonium mucunoides,0,0,0.176618841,0.103612581
269,Campnosperma auriculatum,0,0.355000685,0,0
270,Canarium album,0.324842778,0.108061889,0,0
271,Canarium caudatum,0.124783852,0,0,0
272,Canarium cf. denticulatum,0,0.124692861,0,0
273,Canarium cf. gracile,0.125,0,0,0
274,Canarium cf. patentinervium ,0.109916908,0,0,0
275,Canarium dichotomum,0.066633815,0,0,0
276,Canarium hirsutum,0.103556841,0,0,0
277,Canarium littorale,0.676185366,0.372676335,0,0
278,Canarium megalanthum,0.156082975,0,0,0
279,Canarium pilosum,0.464862342,0.248428535,0,0
280,Canthium horridum,0.066227688,0.117294833,0.014012749,0
281,Capparis micracantha,0.12110259,0,0,0.006263422
282,Carallia brachiata,0.377487649,0.241052529,0.016674763,0
283,Caryota mitis,0.203544962,0.303234233,0,0
284,Casearia capitellata,0,0.152290095,0,0
285,Castanopsis acuminatissima,0.103556841,0,0,0
286,Castanopsis argentea,0.233355547,0,0,0
287,Castanopsis costata,0,0.07944205,0,0
288,Castanopsis inermis,0.066633815,0.053370335,0,0
289,Castanopsis javanica,0.139508305,0,0,0
290,Castanopsis schefferiana,0,0.103254743,0,0
291,Cathalsia sp. 01,0.119076068,0.071620558,0,0
292,Cayratia geniculata,0.45127726,0.434460796,0,0
293,Cayratia japonica,0.066633815,0,0,0
294,Cayratia mollissima,0,0.355694215,0,0
295,Centotheca lappacea,0.123714264,0.990936739,1,0.874999814
296,Centrosema pubescens,0,0,0.084570251,0.017867495
297,Cephalomappa malloticarpa,0.048789288,0.043309399,0,0
298,Champereia manillana,0.483576011,0.720892568,0.017520612,0.11916636
299,Chassalia curviflora,0.281082465,0.379038827,0.033624002,0
300,Chassalia sp. 01,0.048789288,0,0,0
301,Cheilocostus globosus,0,0.043309399,0,0
302,Cheilocostus speciosus,0.221628465,0,0,0
303,Chilocarpus cf. suaveolens,0.190726832,0,0,0
304,Chilocarpus costatus,0.096688666,0,0,0
305,Chionanthus curvicarpus,0.048789288,0.168309399,0,0
306,Chionanthus montanus,0.495712518,0,0,0
307,Chionanthus polygamus,0.124982035,0,0,0
308,Chionanthus sp. 02,0.103556841,0,0,0
309,Chisocheton ceramicus,0.112293919,0,0,0
310,Chisocheton patens,0.178521607,0,0,0
311,Chisocheton tomentosus,0.124674705,0,0,0
312,Chonemorpha fragrans,0.124375192,0,0,0
313,Chonemorpha verrucosa,0,0,0.016674763,0
314,Christella dentata,0,0.125,0.708258194,0.054250346
315,Christensenia aesculifolia,0.066633815,0,0,0
316,Chromolaena odorata,0,0,0.17073073,0.089565018
317,Chrysophyllum flexuosum,0.066227688,0,0,0
318,Cinnamomum iners,0.152045127,0.07944205,0,0
319,Cinnamomum porrectum,0,0.043309399,0,0
320,Cissus nodosa,0.048789288,0,0,0
321,Citrus nobilis,0,0,0.014012749,0
322,Claderia viridiflora,0.240133709,0,0,0
